PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,2018,288.34,148.99,98.17,128.71,19.11,18.4,123.92,7.1,10.75,17.5,82.27,112.86,1056.12
PRECTOTCORR_SUM,2019,344.6,107.19,375.62,69.63,22.94,29.98,2.22,18.17,10.5,81.5,55.45,200.08,1317.88
RH2M,2018,83.97,86.12,80.12,80.59,74.61,70.6,77.56,68.41,59.48,59.16,63.97,73.52,73.12
RH2M,2019,85.69,80.44,89.56,83.74,76.87,75.76,64.55,66.59,59.55,58.92,64.21,72.15,73.14
T2M,2018,25.86,26.69,27.29,25.53,24.8,22.81,21.88,23.96,27.45,27.07,27.98,28.42,25.8
T2M,2019,26.99,27.06,25.64,25.08,23.56,22.57,22.8,24.45,25.59,29.5,29.99,29.12,26.02
T2M_MAX,2018,33.64,32.48,35.38,34.49,34.43,33.61,30.58,35.71,39.93,43.06,44.48,41.62,44.48
T2M_MAX,2019,37.25,36.02,33.0,32.61,31.43,31.98,34.57,36.37,41.18,45.59,43.75,40.65,45.59
T2M_MIN,2018,18.36,21.66,21.6,19.86,17.75,14.76,15.43,13.64,17.46,19.09,18.62,18.2,13.64
T2M_MIN,2019,19.47,19.52,19.03,19.16,16.42,14.85,12.86,16.78,14.63,19.95,21.47,21.42,12.86
