PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2016,6.52,2.65,5.03,2.61,1.09,0.74,2.13,0.21,0.01,0.19,1.55,4.39,2.27
T2M_MIN,2016,20.92,20.19,21.92,18.75,16.59,13.99,15.03,14.42,16.33,17.3,21.91,23.09,13.99
TS,2016,29.24,29.69,29.84,26.56,23.97,22.93,22.38,24.37,28.68,31.19,31.97,29.95,27.55
PRECTOTCORR_SUM,2016,202.08,76.87,155.84,78.34,33.69,22.28,65.93,6.58,0.3,5.96,46.43,136.03,830.33
T2M,2016,28.3,28.64,28.88,26.11,23.46,22.28,21.94,23.15,26.75,28.85,29.74,28.93,26.41
QV2M,2016,17.57,17.09,18.18,16.25,12.4,11.46,11.56,11.29,11.56,12.48,14.66,17.4,14.32
T2M_MAX,2016,40.76,42.11,39.72,36.52,32.35,31.54,34.69,36.97,40.04,44.04,44.6,41.27,44.6
RH2M,2016,75.71,72.92,76.17,79.08,72.58,72.62,74.89,68.93,59.89,56.76,61.9,73.46,70.42
T2M,2017,27.93,28.34,26.44,24.79,24.09,22.93,22.35,23.72,26.04,28.93,27.79,26.98,25.85
TS,2017,28.44,29.1,26.84,24.96,24.56,23.42,23.05,25.03,28.09,31.11,29.53,27.61,26.8
T2M_MIN,2017,22.69,22.56,19.6,18.57,16.94,15.85,15.09,15.29,17.82,17.2,20.3,19.29,15.09
QV2M,2017,18.47,17.81,17.23,15.89,13.78,12.56,11.46,10.88,12.02,12.54,14.89,17.24,14.55
PRECTOTCORR_SUM,2017,174.98,95.65,179.29,144.0,17.62,33.53,25.56,11.16,5.36,10.41,192.17,319.0,1208.73
PRECTOTCORR,2017,5.64,3.42,5.78,4.8,0.57,1.12,0.82,0.36,0.18,0.34,6.41,10.29,3.31
RH2M,2017,80.25,76.28,81.43,82.95,76.98,75.51,72.81,64.53,63.27,56.29,68.57,79.49,73.18
T2M_MAX,2017,36.15,36.88,34.95,32.44,34.48,33.03,34.44,38.06,40.99,45.03,45.1,36.75,45.1
T2M_MIN,2018,18.36,21.66,21.6,19.86,17.75,14.76,15.43,13.64,17.46,19.09,18.62,18.2,13.64
RH2M,2018,83.97,86.12,80.12,80.59,74.61,70.6,77.56,68.41,59.48,59.16,63.97,73.52,73.12
T2M,2018,25.86,26.69,27.29,25.53,24.8,22.81,21.88,23.96,27.45,27.07,27.98,28.42,25.8
QV2M,2018,17.31,18.71,17.7,16.03,13.89,11.41,12.11,11.63,12.09,12.26,14.11,17.03,14.5
PRECTOTCORR_SUM,2018,288.34,148.99,98.17,128.71,19.11,18.4,123.92,7.1,10.75,17.5,82.27,112.86,1056.12
PRECTOTCORR,2018,9.3,5.32,3.17,4.29,0.62,0.61,4.0,0.23,0.36,0.56,2.74,3.64,2.89
T2M_MAX,2018,33.64,32.48,35.38,34.49,34.43,33.61,30.58,35.71,39.93,43.06,44.48,41.62,44.48
TS,2018,26.06,26.79,27.79,25.87,25.43,23.43,22.22,24.91,29.18,29.23,29.73,29.49,26.67
