PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2014,8.48,13.57,1.48,2.53,1.26,1.79,0.58,0.77,0.84,0.4,2.64,2.59,3.0
PRECTOTCORR,2015,17.26,7.43,4.38,1.59,0.41,0.57,1.03,0.02,0.17,0.47,1.18,3.58,3.16
PRECTOTCORR,2016,6.52,2.65,5.03,2.61,1.09,0.74,2.13,0.21,0.01,0.19,1.55,4.39,2.27
PRECTOTCORR,2017,5.64,3.42,5.78,4.8,0.57,1.12,0.82,0.36,0.18,0.34,6.41,10.29,3.31
PRECTOTCORR,2018,9.3,5.32,3.17,4.29,0.62,0.61,4.0,0.23,0.36,0.56,2.74,3.64,2.89
PRECTOTCORR,2019,11.12,3.83,12.12,2.32,0.74,1.0,0.07,0.59,0.35,2.63,1.85,6.45,3.61
PRECTOTCORR,2020,11.26,6.84,1.4,2.79,0.44,1.53,0.86,0.23,0.32,0.69,0.81,5.81,2.74
PRECTOTCORR,2021,7.72,4.61,4.52,2.89,1.1,1.27,1.11,0.25,0.56,0.36,0.96,1.69,2.24
PRECTOTCORR_SUM,2014,263.01,380.07,46.0,75.99,38.95,53.58,17.83,23.9,25.13,12.46,79.33,80.33,1096.58
PRECTOTCORR_SUM,2015,535.14,207.9,135.75,47.72,12.84,17.01,31.91,0.76,5.08,14.48,35.45,110.83,1154.87
PRECTOTCORR_SUM,2016,202.08,76.87,155.84,78.34,33.69,22.28,65.93,6.58,0.3,5.96,46.43,136.03,830.33
PRECTOTCORR_SUM,2017,174.98,95.65,179.29,144.0,17.62,33.53,25.56,11.16,5.36,10.41,192.17,319.0,1208.73
PRECTOTCORR_SUM,2018,288.34,148.99,98.17,128.71,19.11,18.4,123.92,7.1,10.75,17.5,82.27,112.86,1056.12
PRECTOTCORR_SUM,2019,344.6,107.19,375.62,69.63,22.94,29.98,2.22,18.17,10.5,81.5,55.45,200.08,1317.88
PRECTOTCORR_SUM,2020,349.01,198.35,43.43,83.62,13.57,45.79,26.59,7.17,9.65,21.48,24.25,180.06,1002.97
PRECTOTCORR_SUM,2021,239.47,128.97,140.05,86.57,34.04,38.2,34.3,7.62,16.78,11.07,28.93,52.37,818.37
RH2M,2014,86.6,86.92,83.52,77.19,73.5,72.69,70.96,64.87,64.52,57.34,64.64,69.35,72.59
RH2M,2015,86.55,89.14,86.57,78.93,72.0,68.56,65.71,65.29,59.72,59.56,55.17,67.5,71.14
RH2M,2016,75.71,72.92,76.17,79.08,72.58,72.62,74.89,68.93,59.89,56.76,61.9,73.46,70.42
RH2M,2017,80.25,76.28,81.43,82.95,76.98,75.51,72.81,64.53,63.27,56.29,68.57,79.49,73.18
RH2M,2018,83.97,86.12,80.12,80.59,74.61,70.6,77.56,68.41,59.48,59.16,63.97,73.52,73.12
RH2M,2019,85.69,80.44,89.56,83.74,76.87,75.76,64.55,66.59,59.55,58.92,64.21,72.15,73.14
RH2M,2020,85.14,79.09,73.35,71.25,70.44,73.23,69.15,63.33,61.64,63.07,59.61,74.96,70.35
RH2M,2021,79.55,85.89,82.32,77.36,72.62,75.24,72.18,67.24,63.17,57.43,59.88,60.76,71.04
T2M,2014,26.61,26.42,26.54,25.48,24.53,22.56,22.68,24.04,25.45,27.45,28.12,28.72,25.71
T2M,2015,26.34,26.15,25.4,25.0,24.25,23.03,23.22,23.88,26.63,28.94,29.97,29.81,26.05
T2M,2016,28.3,28.64,28.88,26.11,23.46,22.28,21.94,23.15,26.75,28.85,29.74,28.93,26.41
T2M,2017,27.93,28.34,26.44,24.79,24.09,22.93,22.35,23.72,26.04,28.93,27.79,26.98,25.85
T2M,2018,25.86,26.69,27.29,25.53,24.8,22.81,21.88,23.96,27.45,27.07,27.98,28.42,25.8
T2M,2019,26.99,27.06,25.64,25.08,23.56,22.57,22.8,24.45,25.59,29.5,29.99,29.12,26.02
T2M,2020,26.95,28.08,27.26,26.96,24.09,22.59,21.82,24.4,26.07,27.45,30.12,28.63,26.19
T2M,2021,28.4,27.1,26.2,25.18,23.32,22.11,21.9,23.74,25.92,28.04,30.14,30.9,26.07
T2M_MAX,2014,32.48,32.82,33.05,34.13,34.99,34.9,34.65,39.69,38.96,44.97,41.97,39.39,44.97
T2M_MAX,2015,35.36,32.4,31.83,33.23,33.19,34.22,36.4,36.64,41.08,42.37,46.34,44.01,46.34
T2M_MAX,2016,40.76,42.11,39.72,36.52,32.35,31.54,34.69,36.97,40.04,44.04,44.6,41.27,44.6
T2M_MAX,2017,36.15,36.88,34.95,32.44,34.48,33.03,34.44,38.06,40.99,45.03,45.1,36.75,45.1
T2M_MAX,2018,33.64,32.48,35.38,34.49,34.43,33.61,30.58,35.71,39.93,43.06,44.48,41.62,44.48
T2M_MAX,2019,37.25,36.02,33.0,32.61,31.43,31.98,34.57,36.37,41.18,45.59,43.75,40.65,45.59
T2M_MAX,2020,34.35,37.15,38.25,39.26,38.68,33.75,33.93,39.67,42.11,40.39,46.18,39.89,46.18
T2M_MAX,2021,39.46,32.91,33.35,33.59,34.49,31.83,33.37,37.28,40.21,44.57,45.87,43.22,45.87
T2M_MIN,2014,19.32,21.63,21.02,18.67,17.17,15.6,15.31,14.78,17.18,17.58,18.07,18.46,14.78
T2M_MIN,2015,20.79,20.41,19.17,17.54,15.69,13.74,14.97,14.65,17.39,19.96,18.54,21.73,13.74
T2M_MIN,2016,20.92,20.19,21.92,18.75,16.59,13.99,15.03,14.42,16.33,17.3,21.91,23.09,13.99
T2M_MIN,2017,22.69,22.56,19.6,18.57,16.94,15.85,15.09,15.29,17.82,17.2,20.3,19.29,15.09
T2M_MIN,2018,18.36,21.66,21.6,19.86,17.75,14.76,15.43,13.64,17.46,19.09,18.62,18.2,13.64
T2M_MIN,2019,19.47,19.52,19.03,19.16,16.42,14.85,12.86,16.78,14.63,19.95,21.47,21.42,12.86
T2M_MIN,2020,21.02,21.32,20.35,18.61,16.48,15.85,15.22,14.74,16.16,19.69,19.7,21.81,14.74
T2M_MIN,2021,22.54,21.78,20.77,19.06,14.51,14.53,14.3,14.06,15.96,17.08,19.18,22.83,14.06
T2M_RANGE,2014,6.87,6.97,8.56,10.16,11.81,12.25,12.07,14.1,14.54,15.13,14.15,11.39,11.52
T2M_RANGE,2015,6.59,6.43,8.0,10.31,12.72,12.2,13.19,14.41,15.0,15.28,15.32,12.73,11.88
T2M_RANGE,2016,10.21,11.56,10.02,9.38,10.43,11.89,12.13,13.38,16.38,16.63,14.2,11.07,12.27
T2M_RANGE,2017,8.54,9.68,8.54,8.52,10.72,10.83,12.41,13.29,15.13,15.96,12.81,9.31,11.32
T2M_RANGE,2018,8.36,7.03,9.3,9.05,11.31,12.12,10.08,14.94,15.84,13.62,13.24,11.34,11.37
T2M_RANGE,2019,6.98,9.38,6.31,8.65,11.03,11.11,13.28,14.1,15.15,14.7,13.37,11.75,11.33
T2M_RANGE,2020,7.33,9.23,11.43,11.89,12.21,10.97,11.29,14.15,14.4,14.49,15.25,9.8,11.87
T2M_RANGE,2021,8.61,6.89,8.33,10.1,11.81,11.78,12.08,14.17,14.39,15.25,15.47,14.06,11.94
