village_code,visit_month,spray_status,total_residents,clinic_tests,total_rdts,avg_distance_to_health_facility_km,incidence_per_1000,positivity_rate,rainfall,prev_month_rainfall,dist_missing
7001,2016-12-01,1,1273,0.0,66,7.0,20.98,0.52,4.39,1.55,1
7001,2017-01-01,1,1273,0.0,105,7.0,48.13,0.74,5.64,4.39,1
7001,2017-02-01,1,1273,0.0,105,7.0,46.9,0.72,3.42,5.64,1
7001,2017-03-01,1,1273,0.0,49,7.0,20.36,0.67,5.78,3.42,1
7001,2017-04-01,1,1273,14.0,101,7.0,47.52,0.76,4.8,5.78,1
7001,2017-05-01,1,1273,1.0,65,7.0,35.79,0.89,0.57,4.8,1
7001,2017-06-01,1,1273,48.0,116,7.0,58.01,0.81,1.12,0.57,1
7001,2017-07-01,1,1273,58.0,112,7.0,38.26,0.55,0.82,1.12,1
7001,2017-08-01,1,1273,67.0,133,7.0,59.24,0.72,0.36,0.82,1
7001,2017-09-01,1,1273,44.0,78,7.0,34.56,0.72,0.18,0.36,1
7001,2017-10-01,1,1273,49.0,95,7.0,38.26,0.65,0.34,0.18,1
7001,2017-11-01,1,1273,40.0,68,7.0,29.62,0.71,6.41,0.34,1
7001,2017-12-01,1,1273,39.0,72,7.0,29.62,0.67,10.29,6.41,1
7001,2018-01-01,1,1273,56.0,98,7.0,35.79,0.59,9.3,10.29,1
7001,2018-02-01,1,1273,56.0,177,7.0,74.67,0.68,5.32,9.3,1
7001,2018-03-01,1,1273,74.0,206,7.0,88.86,0.7,3.17,5.32,1
7001,2018-04-01,1,1273,49.0,111,7.0,49.37,0.72,4.29,3.17,1
7001,2018-05-01,1,1273,88.0,148,7.0,57.39,0.63,0.62,4.29,1
7001,2018-06-01,1,1273,76.0,97,7.0,40.11,0.67,0.61,0.62,1
7001,2018-07-01,1,1273,48.0,94,7.0,43.2,0.74,4.0,0.61,1
7001,2018-08-01,1,1273,66.0,98,7.0,40.73,0.67,0.23,4.0,1
7001,2018-09-01,1,1273,38.0,85,7.0,30.24,0.58,0.36,0.23,1
7001,2018-10-01,1,1273,47.0,70,7.0,21.6,0.5,0.56,0.36,1
7002,2016-12-01,1,1500,14.0,1,7.6,0.0,0.0,4.39,1.55,0
7002,2017-01-01,1,1500,14.0,15,7.6,4.89,0.73,5.64,4.39,0
7002,2017-02-01,1,1500,0.0,10,7.6,3.11,0.7,3.42,5.64,0
7002,2017-03-01,1,1500,0.0,9,7.6,2.67,0.67,5.78,3.42,0
7002,2017-04-01,1,1500,0.0,12,7.6,2.67,0.5,4.8,5.78,0
7002,2017-05-01,1,1500,2.0,20,7.6,5.33,0.6,0.57,4.8,0
7002,2017-06-01,1,1500,10.0,18,7.6,6.67,0.83,1.12,0.57,0
