,village_code,visit_month,spray_status,total_residents,clinic_tests,total_rdts,avg_distance_to_health_facility_km,incidence_per_1000,positivity_rate,dist_missing,PRECTOTCORR,PRECTOTCORR_SUM,RH2M,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,prev_PRECTOTCORR,prev2_PRECTOTCORR,prev3_PRECTOTCORR,prev4_PRECTOTCORR,prev_PRECTOTCORR_SUM,prev2_PRECTOTCORR_SUM,prev3_PRECTOTCORR_SUM,prev4_PRECTOTCORR_SUM,prev_RH2M,prev2_RH2M,prev3_RH2M,prev4_RH2M,prev_T2M,prev2_T2M,prev3_T2M,prev4_T2M,prev_T2M_MAX,prev2_T2M_MAX,prev3_T2M_MAX,prev4_T2M_MAX,prev_T2M_MIN,prev2_T2M_MIN,prev3_T2M_MIN,prev4_T2M_MIN,prev_T2M_RANGE,prev2_T2M_RANGE,prev3_T2M_RANGE,prev4_T2M_RANGE,prev_incidence_per_1000
0,7001,2016-12-01,1,1273,0.0,66,7.0,20.98,0.52,1,4.39,136.03,73.46,28.93,41.27,23.09,11.07,1.55,0.19,0.01,0.21,46.43,5.96,0.3,6.58,61.9,56.76,59.89,68.93,29.74,28.85,26.75,23.15,44.6,44.04,40.04,36.97,21.91,17.3,16.33,14.42,14.2,16.63,16.38,13.38,
1,7001,2017-01-01,1,1273,0.0,105,7.0,48.13,0.74,1,5.64,174.98,80.25,27.93,36.15,22.69,8.54,4.39,1.55,0.19,0.01,136.03,46.43,5.96,0.3,73.46,61.9,56.76,59.89,28.93,29.74,28.85,26.75,41.27,44.6,44.04,40.04,23.09,21.91,17.3,16.33,11.07,14.2,16.63,16.38,20.98
2,7001,2017-02-01,1,1273,0.0,105,7.0,46.9,0.72,1,3.42,95.65,76.28,28.34,36.88,22.56,9.68,5.64,4.39,1.55,0.19,174.98,136.03,46.43,5.96,80.25,73.46,61.9,56.76,27.93,28.93,29.74,28.85,36.15,41.27,44.6,44.04,22.69,23.09,21.91,17.3,8.54,11.07,14.2,16.63,48.13
3,7001,2017-03-01,1,1273,0.0,49,7.0,20.36,0.67,1,5.78,179.29,81.43,26.44,34.95,19.6,8.54,3.42,5.64,4.39,1.55,95.65,174.98,136.03,46.43,76.28,80.25,73.46,61.9,28.34,27.93,28.93,29.74,36.88,36.15,41.27,44.6,22.56,22.69,23.09,21.91,9.68,8.54,11.07,14.2,46.9
4,7001,2017-04-01,1,1273,14.0,101,7.0,47.52,0.76,1,4.8,144.0,82.95,24.79,32.44,18.57,8.52,5.78,3.42,5.64,4.39,179.29,95.65,174.98,136.03,81.43,76.28,80.25,73.46,26.44,28.34,27.93,28.93,34.95,36.88,36.15,41.27,19.6,22.56,22.69,23.09,8.54,9.68,8.54,11.07,20.36
5,7001,2017-05-01,1,1273,1.0,65,7.0,35.79,0.89,1,0.57,17.62,76.98,24.09,34.48,16.94,10.72,4.8,5.78,3.42,5.64,144.0,179.29,95.65,174.98,82.95,81.43,76.28,80.25,24.79,26.44,28.34,27.93,32.44,34.95,36.88,36.15,18.57,19.6,22.56,22.69,8.52,8.54,9.68,8.54,47.52
6,7001,2017-06-01,1,1273,48.0,116,7.0,58.01,0.81,1,1.12,33.53,75.51,22.93,33.03,15.85,10.83,0.57,4.8,5.78,3.42,17.62,144.0,179.29,95.65,76.98,82.95,81.43,76.28,24.09,24.79,26.44,28.34,34.48,32.44,34.95,36.88,16.94,18.57,19.6,22.56,10.72,8.52,8.54,9.68,35.79
7,7001,2017-07-01,1,1273,58.0,112,7.0,38.26,0.55,1,0.82,25.56,72.81,22.35,34.44,15.09,12.41,1.12,0.57,4.8,5.78,33.53,17.62,144.0,179.29,75.51,76.98,82.95,81.43,22.93,24.09,24.79,26.44,33.03,34.48,32.44,34.95,15.85,16.94,18.57,19.6,10.83,10.72,8.52,8.54,58.01
8,7001,2017-08-01,1,1273,67.0,133,7.0,59.24,0.72,1,0.36,11.16,64.53,23.72,38.06,15.29,13.29,0.82,1.12,0.57,4.8,25.56,33.53,17.62,144.0,72.81,75.51,76.98,82.95,22.35,22.93,24.09,24.79,34.44,33.03,34.48,32.44,15.09,15.85,16.94,18.57,12.41,10.83,10.72,8.52,38.26
9,7001,2017-09-01,1,1273,44.0,78,7.0,34.56,0.72,1,0.18,5.36,63.27,26.04,40.99,17.82,15.13,0.36,0.82,1.12,0.57,11.16,25.56,33.53,17.62,64.53,72.81,75.51,76.98,23.72,22.35,22.93,24.09,38.06,34.44,33.03,34.48,15.29,15.09,15.85,16.94,13.29,12.41,10.83,10.72,59.24
10,7001,2017-10-01,1,1273,49.0,95,7.0,38.26,0.65,1,0.34,10.41,56.29,28.93,45.03,17.2,15.96,0.18,0.36,0.82,1.12,5.36,11.16,25.56,33.53,63.27,64.53,72.81,75.51,26.04,23.72,22.35,22.93,40.99,38.06,34.44,33.03,17.82,15.29,15.09,15.85,15.13,13.29,12.41,10.83,34.56
