PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2016,6.52,2.65,5.03,2.61,1.09,0.74,2.13,0.21,0.01,0.19,1.55,4.39,2.27
PRECTOTCORR,2017,5.64,3.42,5.78,4.8,0.57,1.12,0.82,0.36,0.18,0.34,6.41,10.29,3.31
PRECTOTCORR_SUM,2016,202.08,76.87,155.84,78.34,33.69,22.28,65.93,6.58,0.3,5.96,46.43,136.03,830.33
PRECTOTCORR_SUM,2017,174.98,95.65,179.29,144.0,17.62,33.53,25.56,11.16,5.36,10.41,192.17,319.0,1208.73
RH2M,2016,75.71,72.92,76.17,79.08,72.58,72.62,74.89,68.93,59.89,56.76,61.9,73.46,70.42
RH2M,2017,80.25,76.28,81.43,82.95,76.98,75.51,72.81,64.53,63.27,56.29,68.57,79.49,73.18
T2M,2016,28.3,28.64,28.88,26.11,23.46,22.28,21.94,23.15,26.75,28.85,29.74,28.93,26.41
T2M,2017,27.93,28.34,26.44,24.79,24.09,22.93,22.35,23.72,26.04,28.93,27.79,26.98,25.85
T2M_MAX,2016,40.76,42.11,39.72,36.52,32.35,31.54,34.69,36.97,40.04,44.04,44.6,41.27,44.6
T2M_MAX,2017,36.15,36.88,34.95,32.44,34.48,33.03,34.44,38.06,40.99,45.03,45.1,36.75,45.1
T2M_MIN,2016,20.92,20.19,21.92,18.75,16.59,13.99,15.03,14.42,16.33,17.3,21.91,23.09,13.99
T2M_MIN,2017,22.69,22.56,19.6,18.57,16.94,15.85,15.09,15.29,17.82,17.2,20.3,19.29,15.09
T2M_RANGE,2016,10.21,11.56,10.02,9.38,10.43,11.89,12.13,13.38,16.38,16.63,14.2,11.07,12.27
T2M_RANGE,2017,8.54,9.68,8.54,8.52,10.72,10.83,12.41,13.29,15.13,15.96,12.81,9.31,11.32
